2018-08-31 11:25:35,212 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/isInFence],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.isInFence(com.lkmotion.yesincar.dto.map.request.FenceInRequest)
2018-08-31 11:25:35,213 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/delete/{gid}],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.changeStatus(java.lang.String)
2018-08-31 11:25:35,215 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/changeStatus],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.changeStatus(com.lkmotion.yesincar.dto.map.request.FenceRequest)
2018-08-31 11:25:35,216 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/searchByGids],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.searchByGids(com.lkmotion.yesincar.dto.map.request.FenceRequest)
2018-08-31 11:25:35,217 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/order],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.OrderController.order(com.lkmotion.yesincar.dto.map.request.OrderRequest)
2018-08-31 11:25:35,219 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/route/points],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.RouteController.points(com.lkmotion.yesincar.dto.map.request.RouteRequest)
2018-08-31 11:25:35,220 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/route/distance],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.RouteController.distance(com.lkmotion.yesincar.dto.map.request.RouteRequest)
2018-08-31 11:25:35,222 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/test]}" onto public java.lang.String com.lkmotion.yesincar.controller.TestController.test()
2018-08-31 11:25:35,223 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/vehicle],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.VehicleController.vehicle(com.lkmotion.yesincar.dto.map.request.VehicleRequest)
2018-08-31 11:25:35,229 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-08-31 11:25:35,232 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-08-31 11:25:35,270 | INFO | main | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | (Jdk14Logger.java:99)- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-31 11:25:35,270 | INFO | main | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | (Jdk14Logger.java:99)- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-31 11:25:35,288 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver | (Jdk14Logger.java:99)- Detected @ExceptionHandler methods in globalExceptionHandler
2018-08-31 11:25:36,067 | INFO | main | org.springframework.context.support.DefaultLifecycleProcessor | (Jdk14Logger.java:99)- Starting beans in phase 2147483647
2018-08-31 11:25:36,073 | INFO | main | org.apache.coyote.http11.Http11NioProtocol | (DirectJDKLog.java:180)- Starting ProtocolHandler ["http-nio-auto-1"]
2018-08-31 11:25:36,241 | INFO | main | org.apache.tomcat.util.net.NioSelectorPool | (DirectJDKLog.java:180)- Using a shared selector for servlet write/read
2018-08-31 11:25:36,267 | INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | (Jdk14Logger.java:99)- Tomcat started on port(s): 49769 (http) with context path ''
2018-08-31 11:25:36,270 | INFO | main | com.lkmotion.yesincar.VehicleMapTest | (Jdk14Logger.java:99)- Started VehicleMapTest in 5.896 seconds (JVM running for 6.811)
2018-08-31 11:25:37,112 | INFO | Thread-4 | org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext | (Jdk14Logger.java:99)- Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@64e7619d: startup date [Fri Aug 31 11:25:31 CST 2018]; root of context hierarchy
2018-08-31 11:27:25,159 | INFO | main | com.lkmotion.yesincar.VehicleMapTest | (Jdk14Logger.java:99)- Starting VehicleMapTest on DESKTOP-IV77ACH with PID 13768 (started by lizha in D:\wkide\yesincar-java-server\yesincar\map-service)
2018-08-31 11:27:25,161 | INFO | main | com.lkmotion.yesincar.VehicleMapTest | (Jdk14Logger.java:99)- No active profile set, falling back to default profiles: default
2018-08-31 11:27:25,177 | INFO | main | org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext | (Jdk14Logger.java:99)- Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4fa1c212: startup date [Fri Aug 31 11:27:25 CST 2018]; root of context hierarchy
2018-08-31 11:27:26,715 | INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | (Jdk14Logger.java:99)- Tomcat initialized with port(s): 0 (http)
2018-08-31 11:27:26,731 | INFO | main | org.apache.coyote.http11.Http11NioProtocol | (DirectJDKLog.java:180)- Initializing ProtocolHandler ["http-nio-auto-1"]
2018-08-31 11:27:26,741 | INFO | main | org.apache.catalina.core.StandardService | (DirectJDKLog.java:180)- Starting service [Tomcat]
2018-08-31 11:27:26,742 | INFO | main | org.apache.catalina.core.StandardEngine | (DirectJDKLog.java:180)- Starting Servlet Engine: Apache Tomcat/8.5.32
2018-08-31 11:27:26,752 | INFO | localhost-startStop-1 | org.apache.catalina.core.AprLifecycleListener | (DirectJDKLog.java:180)- The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Program Files\Java\jdk1.8.0_151\jre\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\Program Files (x86)\Intel\iCLS Client\;C:\Program Files\Intel\iCLS Client\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;D:\maven\apache-maven-3.5.4\bin;D:\Program Files\nodejs\;C:\Program Files\MySQL\MySQL Utilities 1.6\;%SystemRoot%\system32;%SystemRoot%;%SystemRoot%\System32\Wbem;%SYSTEMROOT%\System32\WindowsPowerShell\v1.0\;%SYSTEMROOT%\System32\OpenSSH\;C:\Users\lizha\AppData\Local\Microsoft\WindowsApps;C:\Users\lizha\AppData\Local\GitHubDesktop\bin;C:\Users\lizha\AppData\Roaming\npm;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;;.]
2018-08-31 11:27:26,857 | INFO | localhost-startStop-1 | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | (DirectJDKLog.java:180)- Initializing Spring embedded WebApplicationContext
2018-08-31 11:27:26,857 | INFO | localhost-startStop-1 | org.springframework.web.context.ContextLoader | (Jdk14Logger.java:99)- Root WebApplicationContext: initialization completed in 1680 ms
2018-08-31 11:27:26,928 | INFO | localhost-startStop-1 | org.springframework.boot.web.servlet.ServletRegistrationBean | (Jdk14Logger.java:99)- Servlet dispatcherServlet mapped to [/]
2018-08-31 11:27:26,932 | INFO | localhost-startStop-1 | org.springframework.boot.web.servlet.FilterRegistrationBean | (Jdk14Logger.java:99)- Mapping filter: 'characterEncodingFilter' to: [/*]
2018-08-31 11:27:26,933 | INFO | localhost-startStop-1 | org.springframework.boot.web.servlet.FilterRegistrationBean | (Jdk14Logger.java:99)- Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-08-31 11:27:26,933 | INFO | localhost-startStop-1 | org.springframework.boot.web.servlet.FilterRegistrationBean | (Jdk14Logger.java:99)- Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-08-31 11:27:26,933 | INFO | localhost-startStop-1 | org.springframework.boot.web.servlet.FilterRegistrationBean | (Jdk14Logger.java:99)- Mapping filter: 'requestContextFilter' to: [/*]
2018-08-31 11:27:27,264 | INFO | main | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | (Jdk14Logger.java:99)- Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-31 11:27:27,514 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter | (Jdk14Logger.java:99)- Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4fa1c212: startup date [Fri Aug 31 11:27:25 CST 2018]; root of context hierarchy
2018-08-31 11:27:27,577 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/vehicleDispatch],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.DispatchController.dispatch(com.lkmotion.yesincar.dto.map.request.DispatchRequest)
2018-08-31 11:27:27,580 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/distance],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.DistanceController.distance(com.lkmotion.yesincar.dto.map.request.DistanceRequest)
2018-08-31 11:27:27,584 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/meta],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.create(com.lkmotion.yesincar.dto.map.request.FenceRequest)
2018-08-31 11:27:27,585 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/search],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.search(com.lkmotion.yesincar.dto.map.request.FenceRequest)
2018-08-31 11:27:27,586 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/isInFence],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.isInFence(com.lkmotion.yesincar.dto.map.request.FenceInRequest)
2018-08-31 11:27:27,586 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/searchByGids],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.searchByGids(com.lkmotion.yesincar.dto.map.request.FenceRequest)
