2018-08-31 11:33:16,505 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/auth/checkToken],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.AuthTokenController.checkToken(com.lkmotion.yesincar.request.CheckTokenRequest)
2018-08-31 11:33:16,508 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/auth/checkOut],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.AuthTokenController.checkOut(com.lkmotion.yesincar.request.GetTokenRequest) throws java.lang.Exception
2018-08-31 11:33:16,508 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/auth/createToken],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.AuthTokenController.createToken(com.lkmotion.yesincar.request.CreateTokenRequest)
2018-08-31 11:33:16,510 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/car/updateCar],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.CarInfoController.carUpdate(com.lkmotion.yesincar.request.CarChangeRequest)
2018-08-31 11:33:16,511 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/car/car],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.CarInfoController.carAdd(com.lkmotion.yesincar.request.CarInfoRequest)
2018-08-31 11:33:16,513 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/driver/changeWorkStatus],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.DriverController.changeWorkStatus(com.lkmotion.yesincar.request.DriverWorkStatusRequest)
2018-08-31 11:33:16,514 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/driver/driverInfo],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.DriverController.driverInfo(com.lkmotion.yesincar.request.DriverChangeRequest)
2018-08-31 11:33:16,515 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/driver/driver],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.DriverController.driverAdd(com.lkmotion.yesincar.request.DriverChangeRequest)
2018-08-31 11:33:16,516 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/driver/changeDriver],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.DriverController.driverChange(com.lkmotion.yesincar.request.DriverChangeRequest)
2018-08-31 11:33:16,518 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/driver/regist],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.DriverController.getVerificationDriverCode(com.lkmotion.yesincar.request.GetTokenRequest)
2018-08-31 11:33:16,520 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/passenger/passengerInfo],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.PassengerController.getPassengerInfo(com.lkmotion.yesincar.request.GetTokenRequest)
2018-08-31 11:33:16,520 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/passenger/updatePassengerInfo],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.PassengerController.updatePassengerInfo(com.lkmotion.yesincar.request.PassengerInfoRequest)
2018-08-31 11:33:16,521 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/passenger/regist],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.PassengerController.getVerificationCode(com.lkmotion.yesincar.request.GetTokenRequest)
2018-08-31 11:33:16,522 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/phone/getPhoneList],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.PhoneController.getPhoneByIdList(com.lkmotion.yesincar.request.PhoneRequest)
2018-08-31 11:33:16,523 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/phone/createEncrypt],methods=[POST],produces=[application/json;charset=utf-8]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.PhoneController.createEncrypt(com.lkmotion.yesincar.request.PhoneRequest)
2018-08-31 11:33:16,525 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/test],methods=[GET]}" onto public java.lang.String com.lkmotion.yesincar.controller.TestController.test()
2018-08-31 11:33:16,532 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-08-31 11:33:16,532 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-08-31 11:33:16,579 | INFO | main | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | (Jdk14Logger.java:99)- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-31 11:33:16,579 | INFO | main | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | (Jdk14Logger.java:99)- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-31 11:33:16,596 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver | (Jdk14Logger.java:99)- Detected @ExceptionHandler methods in globalExceptionHandler
2018-08-31 11:33:17,327 | INFO | main | org.springframework.jmx.export.annotation.AnnotationMBeanExporter | (Jdk14Logger.java:99)- Registering beans for JMX exposure on startup
2018-08-31 11:33:17,329 | INFO | main | org.springframework.jmx.export.annotation.AnnotationMBeanExporter | (Jdk14Logger.java:99)- Bean with name 'statFilter' has been autodetected for JMX exposure
2018-08-31 11:33:17,329 | INFO | main | org.springframework.jmx.export.annotation.AnnotationMBeanExporter | (Jdk14Logger.java:99)- Bean with name 'dataSource' has been autodetected for JMX exposure
2018-08-31 11:33:17,335 | INFO | main | org.springframework.jmx.export.annotation.AnnotationMBeanExporter | (Jdk14Logger.java:99)- Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper]
2018-08-31 11:33:17,336 | INFO | main | org.springframework.jmx.export.annotation.AnnotationMBeanExporter | (Jdk14Logger.java:99)- Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter]
2018-08-31 11:33:17,342 | INFO | main | org.springframework.context.support.DefaultLifecycleProcessor | (Jdk14Logger.java:99)- Starting beans in phase 2147483647
2018-08-31 11:33:17,350 | INFO | main | org.apache.coyote.http11.Http11NioProtocol | (DirectJDKLog.java:180)- Starting ProtocolHandler ["http-nio-8081"]
2018-08-31 11:33:17,392 | INFO | main | org.apache.tomcat.util.net.NioSelectorPool | (DirectJDKLog.java:180)- Using a shared selector for servlet write/read
2018-08-31 11:33:17,409 | INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | (Jdk14Logger.java:99)- Tomcat started on port(s): 8081 (http) with context path ''
2018-08-31 11:33:17,412 | INFO | main | com.lkmotion.yesincar.AccountServiceApplication | (Jdk14Logger.java:99)- Started AccountServiceApplication in 7.135 seconds (JVM running for 8.105)
